city,aqi,date,pollutant
Charkhi dadri,167,9-Aug-26,PM2.5
Chennai,70,9-Aug-26,"PM10, O3"
Chikkaballapur,23,9-Aug-26,PM10
Chikkamagaluru,36,9-Aug-26,PM10
Chittoor,59,9-Aug-26,PM10
Chittorgarh,72,9-Aug-26,PM10
Churu,55,9-Aug-26,O3
Coimbatore,26,9-Aug-26,SO2
Cuttack,46,9-Aug-26,PM10
Damoh,50,9-Aug-26,SO2
Dausa,61,9-Aug-26,PM10
Delhi,87,9-Aug-26,"O3, PM2.5"
Dewas,84,9-Aug-26,PM10
Dharuhera,81,9-Aug-26,PM2.5
Dharwad,63,9-Aug-26,PM10
Dholpur,29,9-Aug-26,CO
Dhule,55,9-Aug-26,PM10
Dombivli,35,9-Aug-26,O3
Dungarpur,114,9-Aug-26,CO
Durgapur,59,9-Aug-26,"NO2, PM10"
Eluru,61,9-Aug-26,O3
Faridabad,98,9-Aug-26,"PM2.5, PM10"
Fatehabad,52,9-Aug-26,CO
Fatehpur sikri,29,9-Aug-26,O3
Firozabad,35,9-Aug-26,PM10
Gadag,82,9-Aug-26,PM10
Gajraula,50,9-Aug-26,PM10
Gandhinagar,96,9-Aug-26,PM10
Gaya,39,9-Aug-26,"PM10, CO"
Ghaziabad,82,9-Aug-26,"CO, PM10, PM2.5"
Greater noida,133,9-Aug-26,PM10
Gummidipoondi,120,9-Aug-26,PM2.5
Guntur,86,9-Aug-26,NH3
Gurugram,117,9-Aug-26,PM2.5
Guwahati,38,9-Aug-26,"PM2.5, SO2"
Gwalior,80,9-Aug-26,"PM10, CO, PM2.5"
Hajipur,43,9-Aug-26,O3
Haldia,28,9-Aug-26,PM10
Hanumangarh,53,9-Aug-26,PM10
Hingoli,336,9-Aug-26,O3
Hisar,34,9-Aug-26,PM10
Howrah,47,9-Aug-26,"CO, NO2, O3"
Hubballi,55,9-Aug-26,PM10
Hyderabad,50,9-Aug-26,PM10
Indore,64,9-Aug-26,"PM10, PM2.5"
Jabalpur,50,9-Aug-26,"CO, PM10"
Jaipur,54,9-Aug-26,"CO, O3, PM2.5"
Jaisalmer,114,9-Aug-26,PM10
Jalandhar,59,9-Aug-26,PM2.5
Jalgaon,50,9-Aug-26,PM10
Jalna,58,9-Aug-26,PM10
Jalore,89,9-Aug-26,PM10
Jhalawar,72,9-Aug-26,PM10
Jhansi,71,9-Aug-26,PM10
Jhunjhunu,101,9-Aug-26,O3
Jind,39,9-Aug-26,PM2.5
Jodhpur,80,9-Aug-26,PM10
Jorapokhar,77,9-Aug-26,PM10
Kadapa,70,9-Aug-26,PM2.5
Kaithal,50,9-Aug-26,PM10
Kalaburagi,31,9-Aug-26,CO
Kalyan,50,9-Aug-26,PM2.5
Kannur,53,9-Aug-26,PM2.5
Kanpur,65,9-Aug-26,"PM10, PM2.5"
Karauli,36,9-Aug-26,NO2
Karnal,51,9-Aug-26,CO
Karwar,57,9-Aug-26,PM10
Khairthal,75,9-Aug-26,PM10
Khanna,65,9-Aug-26,PM10
Khora,106,9-Aug-26,PM2.5
Khurja,81,9-Aug-26,PM10
Kishanganj,42,9-Aug-26,PM2.5
Kohima,50,9-Aug-26,SO2
Kolhapur,36,9-Aug-26,PM10
Kolkata,57,9-Aug-26,"O3, PM10"
Korba,31,9-Aug-26,CO
Kota,77,9-Aug-26,PM10
Kunjemura,22,9-Aug-26,CO
Kurukshetra,47,9-Aug-26,PM2.5
Latur,71,9-Aug-26,PM10
Lucknow,61,9-Aug-26,"PM10, PM2.5"
Ludhiana,74,9-Aug-26,PM10
Machilipatnam,59,9-Aug-26,PM10
Madikeri,17,9-Aug-26,PM10
Mahad,56,9-Aug-26,PM10
Maihar,34,9-Aug-26,CO
Malegaon,55,9-Aug-26,PM10
Mandideep,83,9-Aug-26,PM10
Mandi gobindgarh,119,9-Aug-26,PM10
Mandikhera,98,9-Aug-26,PM10
Manesar,54,9-Aug-26,PM2.5
Mangalore,37,9-Aug-26,O3
Manguraha,70,9-Aug-26,PM10
Mathura,63,9-Aug-26,PM2.5
Meerut,74,9-Aug-26,PM10
Mehsana,71,9-Aug-26,PM10
Milupara,37,9-Aug-26,O3
Mira-bhayandar,34,9-Aug-26,PM10
Modinagar,24,9-Aug-26,PM2.5
Moradabad,49,9-Aug-26,"O3, PM2.5, SO2"
Mumbai,45,9-Aug-26,PM10
Muzaffarnagar,63,9-Aug-26,PM10
Muzaffarpur,43,9-Aug-26,PM10
Mysuru,57,9-Aug-26,PM10
Nagaur,59,9-Aug-26,PM10
Nagpur,56,9-Aug-26,PM10
Naharlagun,32,9-Aug-26,PM10
Nanded,51,9-Aug-26,PM10
Nandesari,61,9-Aug-26,PM10
Narnaul,67,9-Aug-26,PM10
Nashik,37,9-Aug-26,"PM10, O3"
Navi mumbai,44,9-Aug-26,PM10
Nellore,56,9-Aug-26,PM10
Noida,83,9-Aug-26,"PM10, PM2.5"
Pali,149,9-Aug-26,PM10
Palwal,103,9-Aug-26,PM10
Pampore,27,9-Aug-26,PM10
Panchgaon,79,9-Aug-26,CO
Panchkula,36,9-Aug-26,O3
Panipat,94,9-Aug-26,PM10
Parbhani,30,9-Aug-26,PM10
Patiala,38,9-Aug-26,PM10
Patna,65,9-Aug-26,"PM10, O3"
Pimpri-chinchwad,59,9-Aug-26,PM10
Pithampur,132,9-Aug-26,PM10
Pratapgarh,86,9-Aug-26,PM10
Prayagraj,44,9-Aug-26,"PM10, SO2"
Puducherry,42,9-Aug-26,O3
Pune,61,9-Aug-26,PM10
Purnia,55,9-Aug-26,CO
Raebareli,74,9-Aug-26,CO
Raipur,21,9-Aug-26,PM10
Rairangpur,23,9-Aug-26,PM10
Rajamahendravaram,56,9-Aug-26,PM10
Rajkot,76,9-Aug-26,PM10
Rajsamand,93,9-Aug-26,PM10
Ramanagara,44,9-Aug-26,PM10
Ratlam,51,9-Aug-26,PM2.5
Rishikesh,37,9-Aug-26,CO
Rohtak,43,9-Aug-26,PM2.5
Rourkela,43,9-Aug-26,"PM10, CO"
Sagar,40,9-Aug-26,O3
Saharsa,88,9-Aug-26,PM10
Samastipur,39,9-Aug-26,PM2.5
Sangli,52,9-Aug-26,PM10
Satara,63,9-Aug-26,PM10
Satna,70,9-Aug-26,PM10
Sawai madhopur,60,9-Aug-26,PM10
Shamli,57,9-Aug-26,CO
Shillong,35,9-Aug-26,O3
Shivamogga,53,9-Aug-26,PM10
Sikar,46,9-Aug-26,PM10
Silchar,53,9-Aug-26,PM10
Siliguri,119,9-Aug-26,NO2
Singrauli,71,9-Aug-26,SO2
Sirohi,76,9-Aug-26,PM10
Sirsa,88,9-Aug-26,CO
Siwan,104,9-Aug-26,PM10
Solapur,45,9-Aug-26,PM10
Sonipat,90,9-Aug-26,PM10
Sri ganganagar,86,9-Aug-26,NO2
Srinagar,30,9-Aug-26,PM10
Surat,57,9-Aug-26,PM10
Tensa,78,9-Aug-26,O3
Thane,48,9-Aug-26,PM10
Thiruvananthapuram,43,9-Aug-26,PM10
Thoothukudi,67,9-Aug-26,PM10
Thrissur,42,9-Aug-26,PM10
Tirumala,40,9-Aug-26,NO2
Tirupati,55,9-Aug-26,PM10
Tonk,88,9-Aug-26,PM10
Tumidih,40,9-Aug-26,NO2
Udaipur,101,9-Aug-26,PM10
Ujjain,88,9-Aug-26,PM2.5
Ulhasnagar,52,9-Aug-26,PM10
Vadodara,79,9-Aug-26,PM10
Vapi,48,9-Aug-26,PM10
Varanasi,56,9-Aug-26,PM10
Vatva,111,9-Aug-26,PM10
Vijayawada,69,9-Aug-26,"PM2.5, PM10"
Visakhapatnam,87,9-Aug-26,PM10
Vrindavan,49,9-Aug-26,PM10
Yadgir,50,9-Aug-26,PM10
Yamuna nagar,83,9-Aug-26,PM2.5
Agartala,65,10-Aug-26,PM10
Agra,83,10-Aug-26,"PM2.5, PM10, SO2"
Ahmedabad,93,10-Aug-26,PM10
Ahmednagar,41,10-Aug-26,PM10
Aizawl,14,10-Aug-26,SO2
Ajmer,79,10-Aug-26,PM10
Akola,47,10-Aug-26,PM10
Alwar,97,10-Aug-26,"PM10, PM2.5"
Amaravati,79,10-Aug-26,PM10
Ambala,90,10-Aug-26,PM10
Ambernath,86,10-Aug-26,PM10
Amravati,62,10-Aug-26,PM10
Amritsar,64,10-Aug-26,PM2.5
Anantapur,63,10-Aug-26,PM10
Angul,77,10-Aug-26,O3
Ankleshwar,66,10-Aug-26,PM10
Araria,58,10-Aug-26,PM2.5
Arrah,53,10-Aug-26,CO
Asansol,55,10-Aug-26,"SO2, CO, PM10"
Aurangabad (Maharashtra),50,10-Aug-26,PM10
Baddi,102,10-Aug-26,CO
Badlapur,42,10-Aug-26,CO
Bagalkot,51,10-Aug-26,PM10
Baghpat,79,10-Aug-26,PM10
Bahadurgarh,82,10-Aug-26,PM10
Balasore,36,10-Aug-26,CO
Ballabgarh,130,10-Aug-26,PM10
Banswara,62,10-Aug-26,PM10
Baran,39,10-Aug-26,PM10
Barbil,65,10-Aug-26,PM10
Bareilly,47,10-Aug-26,"SO2, PM10"
Baripada,43,10-Aug-26,O3
Barmer,65,10-Aug-26,PM10
Barrackpore,41,10-Aug-26,CO
Bathinda,29,10-Aug-26,NO2
Beed,41,10-Aug-26,PM10
Begusarai,76,10-Aug-26,PM10
Belapur,23,10-Aug-26,CO
Belgaum,41,10-Aug-26,NO2
Bengaluru,54,10-Aug-26,"PM10, PM2.5"
Bettiah,27,10-Aug-26,NO2
Bhagalpur,74,10-Aug-26,"PM10, PM2.5"
Bharatpur,39,10-Aug-26,PM10
Bhavnagar,63,10-Aug-26,PM10
Bhilai,27,10-Aug-26,"PM10, CO"
Bhilwara,97,10-Aug-26,PM10
Bhiwadi,96,10-Aug-26,PM10
Bhiwandi,50,10-Aug-26,PM10
Bhiwani,73,10-Aug-26,PM2.5
Bhopal,58,10-Aug-26,"NO2, PM10"
Bhubaneswar,52,10-Aug-26,CO
Bikaner,61,10-Aug-26,PM10
Bilaspur,38,10-Aug-26,PM2.5
Boisar,51,10-Aug-26,PM10
Brajrajnagar,47,10-Aug-26,CO
Bulandshahr,60,10-Aug-26,PM10
Bundi,64,10-Aug-26,PM10
Byasanagar,46,10-Aug-26,PM2.5
Byrnihat (Assam),82,10-Aug-26,PM2.5
Byrnihat (Meghalaya),87,10-Aug-26,PM2.5
Chamarajanagar,37,10-Aug-26,PM10
Chandigarh,33,10-Aug-26,"NO2, O3"
Chandrapur,73,10-Aug-26,PM10
Charkhi dadri,171,10-Aug-26,PM2.5
Chennai,66,10-Aug-26,PM10
Chhal,57,10-Aug-26,O3
Chhapra,114,10-Aug-26,PM10
Chikkaballapur,30,10-Aug-26,PM10
Chikkamagaluru,35,10-Aug-26,PM10
Chittoor,61,10-Aug-26,PM10
Chittorgarh,71,10-Aug-26,PM10
Churu,94,10-Aug-26,O3
Coimbatore,27,10-Aug-26,SO2
Cuttack,52,10-Aug-26,PM10
Damoh,49,10-Aug-26,SO2
Dausa,70,10-Aug-26,PM10
Dehradun,17,10-Aug-26,PM10
Delhi,89,10-Aug-26,"PM2.5, PM10"
Dewas,58,10-Aug-26,O3
Dharuhera,95,10-Aug-26,PM2.5
Dharwad,65,10-Aug-26,PM10
Dhule,41,10-Aug-26,PM10
Dombivli,35,10-Aug-26,O3
Dungarpur,81,10-Aug-26,PM10
Durgapur,64,10-Aug-26,"NO2, PM10, CO"
Eluru,56,10-Aug-26,PM10
Faridabad,119,10-Aug-26,"PM2.5, PM10"
Fatehabad,50,10-Aug-26,CO
Fatehpur sikri,30,10-Aug-26,O3
Firozabad,33,10-Aug-26,PM10
Gajraula,50,10-Aug-26,PM10
Gandhinagar,90,10-Aug-26,PM10
Gaya,61,10-Aug-26,"CO, PM10"
Ghaziabad,95,10-Aug-26,"PM10, CO"
Greater noida,201,10-Aug-26,O3
Gummidipoondi,97,10-Aug-26,PM2.5
Guntur,66,10-Aug-26,NH3
Gurugram,100,10-Aug-26,"PM2.5, PM10"
Guwahati,40,10-Aug-26,PM2.5
Gwalior,82,10-Aug-26,"PM10, CO"
Hajipur,53,10-Aug-26,PM10
Haldia,36,10-Aug-26,PM10
Hanumangarh,58,10-Aug-26,PM10
Hapur,57,10-Aug-26,PM10
Hingoli,105,10-Aug-26,O3
Hisar,61,10-Aug-26,PM10
Howrah,48,10-Aug-26,"CO, NO2, O3"
Hubballi,66,10-Aug-26,PM10
Hyderabad,47,10-Aug-26,PM10
Indore,51,10-Aug-26,"PM10, PM2.5"
Jabalpur,45,10-Aug-26,"CO, PM10"
Jaipur,69,10-Aug-26,"O3, PM2.5"
Jaisalmer,100,10-Aug-26,PM10
Jalandhar,100,10-Aug-26,PM2.5
Jalgaon,48,10-Aug-26,PM10
Jalna,71,10-Aug-26,PM10
Jalore,76,10-Aug-26,PM10
Jhalawar,47,10-Aug-26,PM10
Jhansi,59,10-Aug-26,PM10
Jind,59,10-Aug-26,PM2.5
Jodhpur,50,10-Aug-26,PM10
Jorapokhar,77,10-Aug-26,PM2.5
Kadapa,62,10-Aug-26,PM2.5
Kaithal,53,10-Aug-26,PM10
Kalaburagi,36,10-Aug-26,PM10
Kalyan,98,10-Aug-26,"PM10, PM2.5"
Kannur,58,10-Aug-26,PM2.5
Kanpur,78,10-Aug-26,"PM10, PM2.5"
Karauli,38,10-Aug-26,NO2
Karnal,50,10-Aug-26,CO
Karwar,38,10-Aug-26,PM10
Katni,36,10-Aug-26,PM10
Khanna,64,10-Aug-26,PM10
Khora,113,10-Aug-26,PM2.5
Kohima,41,10-Aug-26,SO2
Kolhapur,37,10-Aug-26,PM10
Kolkata,52,10-Aug-26,"O3, PM10, CO"
Korba,23,10-Aug-26,"PM10, CO"
Kota,73,10-Aug-26,PM10
Kunjemura,41,10-Aug-26,PM10
Kurukshetra,52,10-Aug-26,PM10
Latur,48,10-Aug-26,PM10
Lucknow,74,10-Aug-26,"PM10, PM2.5"
Ludhiana,75,10-Aug-26,PM10
Machilipatnam,59,10-Aug-26,PM10
Mahad,55,10-Aug-26,PM10
Maihar,32,10-Aug-26,CO
Malegaon,52,10-Aug-26,PM10
Mandideep,72,10-Aug-26,PM10
Mandi gobindgarh,111,10-Aug-26,PM10
Mandikhera,98,10-Aug-26,PM10
Manesar,113,10-Aug-26,PM2.5
Mangalore,37,10-Aug-26,O3
Manguraha,72,10-Aug-26,PM10
Mathura,72,10-Aug-26,PM10
Meerut,90,10-Aug-26,PM10
Mehsana,72,10-Aug-26,PM10
Milupara,33,10-Aug-26,NO2
Mira-bhayandar,32,10-Aug-26,PM10
Modinagar,25,10-Aug-26,PM2.5
Moradabad,47,10-Aug-26,"O3, PM2.5, SO2"
Mumbai,41,10-Aug-26,"PM10, CO"
Muzaffarnagar,47,10-Aug-26,PM10
Muzaffarpur,40,10-Aug-26,PM10
Mysuru,53,10-Aug-26,PM10
Nagaur,55,10-Aug-26,PM10
Nagpur,53,10-Aug-26,PM10
Naharlagun,37,10-Aug-26,PM10
Nanded,49,10-Aug-26,PM10
Nandesari,61,10-Aug-26,CO
Narnaul,82,10-Aug-26,PM10
Nashik,43,10-Aug-26,PM10
Navi mumbai,38,10-Aug-26,PM10
Nellore,65,10-Aug-26,PM10
Noida,93,10-Aug-26,PM10
Pali,128,10-Aug-26,PM2.5
Palwal,113,10-Aug-26,PM10
Panchgaon,89,10-Aug-26,CO
Panchkula,35,10-Aug-26,O3
Parbhani,52,10-Aug-26,PM10
Patiala,35,10-Aug-26,O3
Patna,71,10-Aug-26,"PM2.5, PM10"
Pimpri-chinchwad,51,10-Aug-26,PM10
Pithampur,106,10-Aug-26,PM10
Pratapgarh,56,10-Aug-26,PM10
Prayagraj,39,10-Aug-26,"PM10, SO2"
Puducherry,44,10-Aug-26,O3
Pune,61,10-Aug-26,PM10
Purnia,58,10-Aug-26,CO
Raebareli,66,10-Aug-26,"PM2.5, PM10"
Raipur,48,10-Aug-26,PM10
Rairangpur,26,10-Aug-26,PM10
Rajamahendravaram,64,10-Aug-26,PM10
Rajkot,78,10-Aug-26,PM10
Rajsamand,91,10-Aug-26,PM10
Ramanagara,41,10-Aug-26,PM10
Ratlam,39,10-Aug-26,PM2.5
Rishikesh,37,10-Aug-26,CO
Rohtak,80,10-Aug-26,PM2.5
Rourkela,44,10-Aug-26,PM10
Sagar,42,10-Aug-26,O3
Saharsa,78,10-Aug-26,PM10
Sangli,43,10-Aug-26,PM10
Satara,63,10-Aug-26,PM10
Satna,70,10-Aug-26,PM10
Sawai madhopur,82,10-Aug-26,PM10
Shamli,65,10-Aug-26,CO
Shillong,33,10-Aug-26,O3
Shivamogga,52,10-Aug-26,PM10
Sikar,63,10-Aug-26,PM10
Silchar,54,10-Aug-26,PM10
Siliguri,121,10-Aug-26,NO2
Singrauli,46,10-Aug-26,NO2
Sirohi,78,10-Aug-26,PM10
Sirsa,86,10-Aug-26,CO
Solapur,45,10-Aug-26,PM10
Sonipat,124,10-Aug-26,PM10
Sri ganganagar,83,10-Aug-26,NO2
Srinagar,46,10-Aug-26,PM10
Surat,53,10-Aug-26,PM10
Tensa,77,10-Aug-26,O3
Thane,48,10-Aug-26,PM10
Thiruvananthapuram,55,10-Aug-26,"PM10, CO"
Thoothukudi,65,10-Aug-26,PM10
Thrissur,44,10-Aug-26,PM10
Tirumala,121,10-Aug-26,PM10
Tonk,100,10-Aug-26,CO
Tumakuru,65,10-Aug-26,PM10
Tumidih,54,10-Aug-26,PM10
Udaipur,103,10-Aug-26,PM10
Ujjain,83,10-Aug-26,PM2.5
Ulhasnagar,54,10-Aug-26,PM10
Vadodara,74,10-Aug-26,PM10
Vapi,35,10-Aug-26,PM10
Varanasi,61,10-Aug-26,PM10
Vatva,115,10-Aug-26,PM10
Vijayawada,51,10-Aug-26,PM10
Virar,43,10-Aug-26,PM10
Visakhapatnam,105,10-Aug-26,PM10
Vrindavan,48,10-Aug-26,PM2.5
Yadgir,54,10-Aug-26,PM10
Yamuna nagar,72,10-Aug-26,PM2.5
Agartala,54,11-Aug-26,PM10
Agra,81,11-Aug-26,"PM2.5, PM10"
Ahmedabad,68,11-Aug-26,PM10
Ahmednagar,43,11-Aug-26,PM10
Ajmer,91,11-Aug-26,PM10
Akola,48,11-Aug-26,PM10
Alwar,100,11-Aug-26,PM10
Amaravati,96,11-Aug-26,PM10
Ambala,96,11-Aug-26,PM10
Ambernath,72,11-Aug-26,PM10
Amravati,51,11-Aug-26,PM10
Amritsar,66,11-Aug-26,PM2.5
Anantapur,75,11-Aug-26,PM10
Angul,82,11-Aug-26,CO
Ankleshwar,75,11-Aug-26,O3
Araria,74,11-Aug-26,PM2.5
Arrah,56,11-Aug-26,CO
Asansol,59,11-Aug-26,"SO2, CO, PM10"
Aurangabad (Maharashtra),66,11-Aug-26,PM10
Baddi,103,11-Aug-26,PM10
Badlapur,22,11-Aug-26,NO2
Bagalkot,51,11-Aug-26,PM10
Baghpat,44,11-Aug-26,PM10
Bahadurgarh,69,11-Aug-26,PM10
Balasore,41,11-Aug-26,CO
Ballabgarh,133,11-Aug-26,PM10
Banswara,61,11-Aug-26,PM10
Barbil,55,11-Aug-26,PM2.5
Bareilly,41,11-Aug-26,"SO2, PM10"
Baripada,57,11-Aug-26,O3
Barmer,74,11-Aug-26,PM10
Barrackpore,46,11-Aug-26,CO
Bathinda,28,11-Aug-26,NO2
Beed,41,11-Aug-26,PM10
Begusarai,116,11-Aug-26,PM10
Belapur,40,11-Aug-26,PM10
Belgaum,24,11-Aug-26,SO2
Bengaluru,61,11-Aug-26,PM10
Bettiah,27,11-Aug-26,NO2
Bhagalpur,113,11-Aug-26,"PM10, PM2.5"
Bharatpur,56,11-Aug-26,PM10
Bhavnagar,62,11-Aug-26,PM10
Bhilai,28,11-Aug-26,"PM10, CO"
Bhilwara,92,11-Aug-26,PM10
Bhiwadi,90,11-Aug-26,PM10
Bhiwandi,43,11-Aug-26,PM10
Bhiwani,67,11-Aug-26,PM2.5
Bhopal,47,11-Aug-26,"NO2, CO, PM10"
Bhubaneswar,35,11-Aug-26,PM10
Bilaspur,29,11-Aug-26,PM10
Bileipada,70,11-Aug-26,PM10
Boisar,62,11-Aug-26,PM10
Brajrajnagar,50,11-Aug-26,CO
Bulandshahr,41,11-Aug-26,PM10
Bundi,57,11-Aug-26,PM10
Byasanagar,48,11-Aug-26,O3
Byrnihat (Assam),83,11-Aug-26,PM2.5
Byrnihat (Meghalaya),134,11-Aug-26,PM2.5
Chamarajanagar,45,11-Aug-26,PM10
Chandigarh,43,11-Aug-26,"CO, PM2.5"
Chandrapur,63,11-Aug-26,PM10
Charkhi dadri,146,11-Aug-26,PM2.5
Chennai,59,11-Aug-26,PM10
Chhal,78,11-Aug-26,PM10
Chhapra,115,11-Aug-26,PM10
Chikkaballapur,36,11-Aug-26,PM10
Chittoor,71,11-Aug-26,PM2.5
Chittorgarh,52,11-Aug-26,PM10
Churu,55,11-Aug-26,PM10
Coimbatore,45,11-Aug-26,O3
Cuttack,45,11-Aug-26,PM10
Damoh,50,11-Aug-26,SO2
Dausa,71,11-Aug-26,PM10
Davanagere,21,11-Aug-26,PM2.5
Dehradun,43,11-Aug-26,PM2.5
Delhi,78,11-Aug-26,"PM2.5, NO2"
Dewas,58,11-Aug-26,O3
Dharuhera,97,11-Aug-26,PM2.5
Dholpur,98,11-Aug-26,PM10
Dhule,40,11-Aug-26,PM10
Dombivli,33,11-Aug-26,O3
Dungarpur,74,11-Aug-26,PM10
Durgapur,63,11-Aug-26,"NO2, PM10"
Eloor,115,11-Aug-26,CO
Eluru,56,11-Aug-26,PM10
Faridabad,118,11-Aug-26,"PM2.5, PM10"
Fatehabad,47,11-Aug-26,CO
Fatehpur sikri,30,11-Aug-26,PM10
Firozabad,42,11-Aug-26,"PM10, CO"
Gajraula,44,11-Aug-26,PM2.5
Gandhinagar,75,11-Aug-26,PM10
Gaya,146,11-Aug-26,"PM2.5, PM10"
Ghaziabad,75,11-Aug-26,"CO, PM10"
Gorakhpur,214,11-Aug-26,PM2.5
Greater noida,84,11-Aug-26,PM10
Gummidipoondi,88,11-Aug-26,PM2.5
Guntur,49,11-Aug-26,PM10
Gurugram,106,11-Aug-26,"PM2.5, PM10"
Guwahati,63,11-Aug-26,"CO, PM10, PM2.5"
Gwalior,82,11-Aug-26,"CO, PM10, O3"
Hajipur,45,11-Aug-26,O3
Haldia,31,11-Aug-26,PM10
Hanumangarh,53,11-Aug-26,PM10
Hapur,40,11-Aug-26,PM10
Hingoli,52,11-Aug-26,PM10
Hisar,50,11-Aug-26,PM10
Howrah,56,11-Aug-26,"NO2, CO"
Hubballi,61,11-Aug-26,PM10
Hyderabad,48,11-Aug-26,PM10
Indore,38,11-Aug-26,"PM10, PM2.5, SO2"
Jabalpur,52,11-Aug-26,"NO2, PM10"
Jaipur,66,11-Aug-26,"PM2.5, PM10"
Jaisalmer,102,11-Aug-26,PM10
Jalandhar,94,11-Aug-26,PM2.5
Jalgaon,48,11-Aug-26,PM10
Jalna,66,11-Aug-26,PM10
Jalore,76,11-Aug-26,PM10
Jhansi,61,11-Aug-26,PM10
Jhunjhunu,52,11-Aug-26,PM10
Jodhpur,67,11-Aug-26,PM10
Jorapokhar,71,11-Aug-26,PM10
Kaithal,99,11-Aug-26,SO2
Kalaburagi,33,11-Aug-26,CO
Kalyan,70,11-Aug-26,PM10
Kannur,73,11-Aug-26,PM2.5
Kanpur,80,11-Aug-26,"PM10, PM2.5"
Karnal,45,11-Aug-26,PM2.5
Karwar,25,11-Aug-26,PM10
Katni,46,11-Aug-26,PM10
Keonjhar,41,11-Aug-26,PM10
Khanna,70,11-Aug-26,PM10
Khora,118,11-Aug-26,PM2.5
Khurja,69,11-Aug-26,PM10
Kishanganj,56,11-Aug-26,PM2.5
Kohima,57,11-Aug-26,SO2
Kolhapur,38,11-Aug-26,PM10
Kolkata,68,11-Aug-26,"O3, PM10"
Korba,26,11-Aug-26,"SO2, PM10"
Kota,67,11-Aug-26,PM10
Kunjemura,55,11-Aug-26,PM10
Kurukshetra,43,11-Aug-26,PM2.5
Latur,42,11-Aug-26,PM10
Leh,183,11-Aug-26,CO
Lucknow,70,11-Aug-26,"PM10, PM2.5"
Ludhiana,67,11-Aug-26,PM10
Machilipatnam,62,11-Aug-26,PM10
Madikeri,29,11-Aug-26,PM10
Mahad,26,11-Aug-26,PM2.5
Malegaon,53,11-Aug-26,PM10
Mandideep,37,11-Aug-26,PM10
Mandi gobindgarh,91,11-Aug-26,PM10
Mandikhera,71,11-Aug-26,PM10
Manesar,72,11-Aug-26,PM2.5
Mangalore,43,11-Aug-26,PM10
Manguraha,70,11-Aug-26,PM10
Mathura,72,11-Aug-26,PM10
Meerut,56,11-Aug-26,"PM10, PM2.5"
Mehsana,64,11-Aug-26,PM10
Mira-bhayandar,30,11-Aug-26,PM10
Modinagar,23,11-Aug-26,PM2.5
Moradabad,46,11-Aug-26,"SO2, PM2.5, PM10"
Motihari,140,11-Aug-26,PM2.5
Mumbai,41,11-Aug-26,"PM10, O3"
Munger,57,11-Aug-26,PM2.5
Muzaffarnagar,32,11-Aug-26,PM10
Muzaffarpur,52,11-Aug-26,"PM10, O3"
Mysuru,56,11-Aug-26,PM10
Nagaon,58,11-Aug-26,PM2.5
Nagpur,50,11-Aug-26,PM10
Naharlagun,35,11-Aug-26,PM10
Nanded,49,11-Aug-26,PM10
Nandesari,66,11-Aug-26,CO
Narnaul,77,11-Aug-26,PM10
Nashik,34,11-Aug-26,"PM10, O3"
Navi mumbai,41,11-Aug-26,"CO, PM10"
Nellore,62,11-Aug-26,PM10
Noida,68,11-Aug-26,"PM10, CO"
Pali,144,11-Aug-26,PM10
Palwal,103,11-Aug-26,PM10
Panchgaon,79,11-Aug-26,CO
Panchkula,33,11-Aug-26,O3
Panipat,82,11-Aug-26,PM10
Parbhani,39,11-Aug-26,NO2
Patiala,39,11-Aug-26,CO
Patna,78,11-Aug-26,"PM2.5, PM10"
Pimpri-chinchwad,66,11-Aug-26,PM10
Pithampur,85,11-Aug-26,PM10
Pratapgarh,34,11-Aug-26,PM10
Prayagraj,31,11-Aug-26,SO2
Puducherry,47,11-Aug-26,O3
Pune,61,11-Aug-26,PM10
Purnia,59,11-Aug-26,CO
Raebareli,168,11-Aug-26,"PM2.5, PM10"
Raipur,47,11-Aug-26,PM10
Rairangpur,25,11-Aug-26,PM10
Rajamahendravaram,65,11-Aug-26,PM10
Rajkot,70,11-Aug-26,PM10
Rajsamand,79,11-Aug-26,PM10
Ramanagara,43,11-Aug-26,PM10
Ratlam,38,11-Aug-26,PM2.5
Rishikesh,37,11-Aug-26,CO
Rohtak,53,11-Aug-26,PM2.5
Rourkela,48,11-Aug-26,PM10
Rupnagar,54,11-Aug-26,CO
Sagar,29,11-Aug-26,O3
Saharsa,239,11-Aug-26,PM10
Samastipur,154,11-Aug-26,PM2.5
Sangli,28,11-Aug-26,PM10
Satara,61,11-Aug-26,PM10
Satna,70,11-Aug-26,PM10
Sawai madhopur,55,11-Aug-26,O3
Shamli,126,11-Aug-26,CO
Shillong,24,11-Aug-26,SO2
Shivamogga,46,11-Aug-26,O3
Sikar,87,11-Aug-26,PM10
Silchar,52,11-Aug-26,PM10
Siliguri,117,11-Aug-26,NO2
Singrauli,45,11-Aug-26,NO2
Sirohi,66,11-Aug-26,PM10
Sirsa,92,11-Aug-26,CO
Siwan,105,11-Aug-26,PM10
Solapur,45,11-Aug-26,PM10
Sonipat,113,11-Aug-26,PM10
Sri ganganagar,106,11-Aug-26,O3
Srinagar,51,11-Aug-26,PM10
Surat,46,11-Aug-26,"CO, PM10"
Talcher,78,11-Aug-26,SO2
Tensa,77,11-Aug-26,O3
Thiruvananthapuram,57,11-Aug-26,PM10
Thoothukudi,65,11-Aug-26,PM10
Thrissur,49,11-Aug-26,PM10
